stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
1,1.43,2.39,40,Arla Biologisch vanille yoghurt halfvol,Arla,2026-01-25 11:49:26
1,0.93,1.55,40,AH Mousse koffie,AH,2026-01-25 11:49:26
1,1.49,2.49,40,Kalverliefde Biologische volle melk,Kalverliefde,2026-01-25 11:49:26
4,0.75,2.49,70,Optimel Magere vla vanille,Optimel,2026-01-25 11:49:26
1,0.74,0.99,25,Danoontje Knijpyoghurt banaan,Danoontje,2026-01-25 11:49:26
1,1.63,2.89,25,Activia Yoghurt pruim,Activia,2026-01-25 11:49:26
3,1.01,1.69,40,Campina Magere milde kwark vanille & granola,Campina,2026-01-25 11:49:26
3,1.01,1.69,40,Campina Magere milde kwark aardbei & granola,Campina,2026-01-25 11:49:26
1,1.87,2.49,25,Campina Zacht & luchtig vanille smaak,Campina,2026-01-25 11:49:26
5,2.99,3.99,25,Pol van den Bogaert Brabantsche roomboter,Pol van den Bogaert,2026-01-25 11:49:26
2,0.71,0.95,25,AH Halfvolle koffiemelk,AH,2026-01-25 11:49:26
1,1.49,1.99,25,AH Libanees brood,AH,2026-01-25 11:49:26
1,2.24,2.99,25,AH Brabantse worstenbroodjes,AH,2026-01-25 11:49:26
1,0.99,3.29,70,Dr. Oetker Kwarktaart eigen fruit bakmix,Dr. Oetker,2026-01-25 11:49:26
1,1.49,2.49,40,Jos Poell Suikerschelpen,Jos Poell,2026-01-25 11:49:26
1,1.99,2.65,25,Liga Vitalu crackers volkoren,Liga,2026-01-25 11:49:26
2,0.77,1.29,40,Koopmans Griesmeelpudding vanillesmaak,Koopmans,2026-01-25 11:49:26
5,1.79,2.99,40,Dr. Oetker Safari diertjes decoratie,Dr. Oetker,2026-01-25 11:49:26
5,2.21,3.69,40,Leentjes Strooi pret letters & disco dip,Leentjes,2026-01-25 11:49:26
4,1.61,2.69,40,Koopmans Brood uit de pan Grieks,Koopmans,2026-01-25 11:49:26
3,2.92,3.89,25,Dr. Oetker Decoratiestiften choco & karamel,Dr. Oetker,2026-01-25 11:49:26
2,2.47,3.29,25,Koopmans Plaatcake stroopwafel,Koopmans,2026-01-25 11:49:26
5,1.05,1.75,40,Bifi Roll XXL,Bifi,2026-01-25 11:49:26
2,2.24,2.99,25,Johma Ham-prei salade,Johma,2026-01-25 11:49:26
