fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 20:50:12,AH Roomboter met plantaardige olie ongezout,AH,"Zuivel, eieren",2.19,1.64,25,1
2026-02-04 20:50:12,Ehrmann High protein vanilla,Ehrmann,"Zuivel, eieren",1.89,1.13,40,10
2026-02-04 20:50:12,Campina Langlekker halfvolle melk voordeelpak,Campina,"Zuivel, eieren",7.79,5.84,25,4
2026-02-04 20:50:12,Campina Langlekker volle melk voordeel 4-pack,Campina,"Zuivel, eieren",8.29,6.22,25,3
2026-02-04 20:50:12,AH Ah kaiserbroodjes wit nat,AH,Bakkerij,0.29,0.09,70,15
2026-02-04 20:50:12,AH Luxe roomboter croissant,AH,Bakkerij,1.19,0.36,70,5
2026-02-04 20:50:12,AH Vloerbrood volkoren heel,AH,Bakkerij,2.69,0.81,70,3
2026-02-04 20:50:12,AH Kaas ruitbroodje wit,AH,Bakkerij,0.49,0.29,40,9
2026-02-04 20:50:12,AH Pastel de nata,AH,Bakkerij,0.65,0.39,40,7
2026-02-04 20:50:12,AH Triangel croissant,AH,Bakkerij,0.99,0.59,40,4
2026-02-04 20:50:12,AH Vloerbrood volkoren half,AH,Bakkerij,1.45,0.87,40,4
2026-02-04 20:50:12,AH Vloer waldkorn heel,AH,Bakkerij,2.69,1.61,40,3
2026-02-04 20:50:12,AH Vloer waldkorn half,AH,Bakkerij,1.45,0.87,40,2
2026-02-04 20:50:12,AH Petit stokbrood meerzaden,AH,Bakkerij,0.89,0.53,40,1
2026-02-04 20:50:12,AH Ham kaas croissant,AH,Bakkerij,0.89,0.58,35,2
2026-02-04 20:50:12,AH Roomboter appelflap,AH,Bakkerij,0.89,0.67,25,4
2026-02-04 20:50:12,AH Pizzastuk vegetarisch,AH,Bakkerij,1.39,1.04,25,4
2026-02-04 20:50:12,AH Tijgerbol wit,AH,Bakkerij,0.39,0.29,25,3
2026-02-04 20:50:12,AH Focaccia mozzarella,AH,Bakkerij,1.09,0.82,25,3
2026-02-04 20:50:12,AH Kaiserbroodje volkoren,AH,Bakkerij,0.29,0.22,25,3
2026-02-04 20:50:12,AH Bakkersbroodje spelt,AH,Bakkerij,0.79,0.59,25,3
2026-02-04 20:50:12,AH Les pains bastille half,AH,Bakkerij,1.29,0.97,25,2
2026-02-04 20:50:12,AH Tijger tarwe maïs heel,AH,Bakkerij,1.99,1.49,25,2
2026-02-04 20:50:12,AH Stokbrood bruin,AH,Bakkerij,1.39,1.04,25,2
2026-02-04 20:50:12,AH Vloerbrood meergranen heel,AH,Bakkerij,2.69,2.02,25,2
2026-02-04 20:50:12,AH Kaas croissant,AH,Bakkerij,0.89,0.67,25,2
2026-02-04 20:50:12,AH Tijger volkoren heel,AH,Bakkerij,1.99,1.49,25,1
2026-02-04 20:50:12,AH Italiaanse bol wit,AH,Bakkerij,0.59,0.44,25,1
2026-02-04 20:50:12,AH Kaasstengel,AH,Bakkerij,0.99,0.74,25,1
2026-02-04 20:50:12,AH Liefde & Passie OerDesem Spelt boekweit,AH Liefde & Passie,Bakkerij,3.19,2.39,25,1
2026-02-04 20:50:12,AH Vloerbrood wit heel,AH,Bakkerij,2.69,2.02,25,1
2026-02-04 20:50:12,AH Rond volkoren heel,AH,Bakkerij,1.89,1.42,25,1
2026-02-04 20:50:12,AH Kaas uienbroodje,AH,Bakkerij,1.39,1.04,25,1
2026-02-04 20:50:12,Leentjes Strooi pret letters & disco dip,Leentjes,Bakkerij,3.69,1.85,50,4
2026-02-04 20:50:12,Leentjes Strooi pret diertjes & regenboog,Leentjes,Bakkerij,3.69,1.85,50,1
2026-02-04 20:50:12,Dr. Oetker Decoratiestiften choco & karamel,Dr. Oetker,Bakkerij,3.89,2.92,25,1
2026-02-04 20:50:12,AH Peshwari naanbrood,AH,Bakkerij,1.89,1.13,40,2
2026-02-04 20:50:12,AH Kip kerrie salade,AH,"Borrel, chips, snacks",2.99,0.90,70,13
2026-02-04 20:50:12,Huls Groninger metworst,Huls,"Borrel, chips, snacks",2.99,1.79,40,2
2026-02-04 20:50:12,Knorr Wereldgerechten Surinaamse roti,Knorr,"Pasta, rijst, wereldkeuken",4.69,2.81,40,1
2026-02-04 20:50:12,AH Sojabonen,AH,"Soepen, sauzen, kruiden, olie",2.49,0.75,70,1
2026-02-04 20:50:12,AH Vruchtenkoeken,AH,"Koek, snoep, chocolade",1.99,0.60,70,1
2026-02-04 20:50:12,AH Roomboter cupcake marmer,AH,"Koek, snoep, chocolade",1.85,1.39,25,1
2026-02-04 20:50:12,Lotus Wafels vanille aap,Lotus,"Koek, snoep, chocolade",2.59,1.94,25,1
2026-02-04 20:50:12,Smoeltjes UFO Smoeltjes,Smoeltjes,"Koek, snoep, chocolade",2.69,1.61,40,1
2026-02-04 20:50:12,Knoppers Peanut wafel,Knoppers,"Koek, snoep, chocolade",1.69,1.27,25,23
2026-02-04 20:50:12,Verkade Smiles met crèmevulling,Verkade,"Koek, snoep, chocolade",2.49,1.87,25,7
2026-02-04 20:50:12,Knoppers Mini's,Knoppers,"Koek, snoep, chocolade",3.29,2.47,25,5
2026-02-04 20:50:12,Zagazoe Chocobars,Zagazoe,"Koek, snoep, chocolade",1.99,1.49,25,3
2026-02-04 20:50:12,McVitie's Crunchy haverkoek,McVitie's,Tussendoortjes,2.29,1.72,25,14
2026-02-04 20:50:12,AH Fruitbiscuit naturel,AH,Tussendoortjes,1.39,1.04,25,2
2026-02-04 20:50:12,AH IJskoffie cappuccino,AH,"Koffie, thee",0.75,0.56,25,4
2026-02-04 20:50:12,AA Drink Burner zero,AA Drink,"Frisdrank, sappen, water",0.99,0.74,25,8
2026-02-04 20:50:12,Lenor Fresh air wasverzachter fleurige bloesem,Lenor,Huishouden,8.19,4.91,40,7
2026-02-04 20:50:12,Ariel Active+ wasmiddel,Ariel,Huishouden,15.99,9.59,40,6
2026-02-04 20:50:12,Ariel Color+ touch of lenor wasmiddel,Ariel,Huishouden,15.99,9.59,40,4
2026-02-04 20:50:12,Ariel Revita black+ wasmiddel,Ariel,Huishouden,15.99,9.59,40,3
